"","구코드","동코드","위도","경도"
"555","680","11400",37.524397,127.0504325
"556","680","11400",37.5243041,127.0497218
"557","680","11400",37.5223936,127.0481751
"558","680","10600",37.5278458,127.0315467
"559","680","10600",37.5281602,127.0303019
"560","680","10600",37.5288945,127.0298941
"561","680","10100",37.511229,127.0645806
"562","680","10100",37.5095522,127.0218212
"563","680","10100",37.4945792,127.0141684
"564","680","10800",37.4845988,127.0582383
"565","680","10800",37.4834985,127.0595925
"566","680","10800",37.4834905,127.0797318
"567","680","10800",37.5134565,127.0548765
"568","680","10800",37.5128394,127.0534484
"569","680","10800",37.5048801,127.0508938
"570","680","10100",37.5052388,127.0519914
"571","680","10800",37.5036051,127.0515011
"572","680","10800",37.5203629,127.0399784
"573","680","11200",37.5183373,127.0407345
"574","680","10300",37.5188085,127.0405649
"575","680","10300",37.5192202,127.0405266
"576","680","10300",37.5198361,127.0401908
"577","680","10300",37.5224508,127.0336857
"578","680","10800",37.501969,127.0549071
"579","680","11500",37.5246819,127.0394299
"580","680","11500",37.5248215,127.0387679
"581","680","10700",37.5249099,127.0387294
"582","680","10600",37.4835406,127.0444142
"583","680","10500",37.4908484,127.0808589
"584","680","10600",37.5269714,127.0379438
"585","680","10600",37.5175768,127.1055002
"586","680","10400",37.5145518,127.0619782
"587","680","10400",37.4912116,127.087938
"588","680","10400",37.5023894,127.0567336
"589","680","10500",37.5249634,127.0467955
"590","680","10400",37.4852538,127.0460832
"591","680","11800",37.484761,127.0465183
"592","680","10500",37.5234903,127.0400513
"593","680","11500",37.4984377,127.1050171
"594","680","11500",37.5001419,127.1043222
"595","680","11500",37.5000604,127.1042529
"596","680","10600",37.5293801,127.0296986
"597","680","10800",37.5143554,127.0344953
"598","680","11400",37.5191189,127.0510623
"599","680","11400",37.5099781,127.0433559
"600","680","10500",37.5218216,127.0339865
"601","680","10800",37.473846,127.0489387
"602","680","10800",37.4855885,127.0752995
"603","680","10600",37.5131785,127.0352255
"604","680","10600",37.5241831,127.0412497
"605","680","10400",37.5015617,127.0539299
"606","680","10700",37.5014235,127.0538142
"607","680","10800",37.5016302,127.0538349
"608","680","10700",37.5169416,127.0377565
"609","680","10800",37.5174792,127.0511088
"610","680","10500",37.4884758,127.0643353
"611","680","10800",37.5078231,127.0541844
"612","680","10400",37.5206004,127.0569313
"613","680","10400",37.5207258,127.0563451
"614","680","10800",37.5184053,127.0470697
"615","680","10700",37.5214231,127.0362687
"616","680","10700",37.5199199,127.0354189
"617","680","10700",37.5196865,127.0348717
"618","680","10700",37.5184061,127.0352274
"619","680","10400",37.5182448,127.0355013
"620","680","10400",37.5178313,127.0355835
"621","680","10600",37.5238989,127.0448106
"622","680","11400",37.4951583,127.1231825
"623","680","10100",37.4833032,127.0527722
"624","680","10100",37.48516,127.0506677
"625","680","10100",37.4886364,127.0281995
"626","680","10600",37.5261946,127.0277288
"627","680","10600",37.5256067,127.0276617
"628","680","10600",37.5238879,127.0232643
"629","680","10800",37.5013221,127.0431996
"630","680","10800",37.5013244,127.0432001
"631","680","10100",37.5015914,127.0443133
"632","680","10100",37.5004215,127.043578
"633","680","10500",37.5088164,127.0269774
"634","680","11800",37.5011606,127.0428195
"635","680","10500",37.4886095,127.0644954
"636","680","10500",37.4915396,127.0680931
"637","680","10500",37.4917308,127.0683382
"638","680","10800",37.4767573,127.1058567
"639","680","11400",37.4894824,127.0751537
"640","680","10600",37.4772894,127.0487338
"641","680","10500",37.501322,127.059455
"642","680","10400",37.5225201,127.0482719
"643","680","10400",37.5153434,127.0351305
"644","680","10400",37.5152778,127.0344341
"645","680","10400",37.5149732,127.0344263
"646","680","11400",37.4981052,127.058918
"647","680","10600",37.4978789,127.0581647
"648","680","10600",37.4995548,127.0625216
"649","680","10600",37.4993114,127.0626464
"650","680","10600",37.5200156,127.0497584
"651","680","10600",37.5188691,127.0504976
"652","680","10600",37.5188629,127.0512085
"653","680","11400",37.4956867,127.046034
"654","680","11800",37.524783,127.0379279
"655","680","10600",37.5197562,127.0283164
"656","680","10100",37.4910409,127.0870386
"657","680","10500",37.5128296,127.0931628
"658","680","10300",37.5014918,127.08463
"659","680","10100",37.4947252,127.0669226
"660","680","11000",37.5236671,127.0217336
"661","680","11000",37.5182453,127.0267282
"662","680","10700",37.5182329,127.0268377
"663","680","10100",37.5196253,127.0279569
"664","680","10100",37.5183491,127.0233019
"665","680","11100",37.5092349,127.0586313
"666","680","11200",37.5217033,127.0397471
